Circonscription;Resultats
"6913";36.35, RN - 26.23, UG - 24.21, ENS;Triangulaire
"6914";48.78, UG - 28.21, RN;Duel
"7001";48.82, RN - 29.99, ENS;Duel
"7002";50.11, RN;Elu
"7101";34.65, RN - 30.60, ENS - 27.59, UG;Triangulaire
"7102";37.85, RN - 33.58, LR;Duel
"7103";42.67, RN - 25.10, ENS - 19.14, UG;Triangulaire
"7104";44.34, UXD - 29.96, UG - 22.33, LR;Triangulaire
"7105";35.12, RN - 23.28, UG - 20.75, ENS - 19.06, DVD;Duel
"7201";33.60, RN - 30.84, ENS - 25.01, UG;Triangulaire
"7202";39.95, UG - 35.29, UXD - 23.09, UDI;Triangulaire
"7203";42.54, RN - 29.17, ENS;Duel
"7204";39.26, RN - 25.94, UG - 25.88, ENS;Triangulaire
"7205";38.23, RN - 31.28, ENS - 26.67, UG;Triangulaire
"7301";36.16, UXD - 35.24, ENS - 22.93, UG;Triangulaire
"7302";36.84, LR - 35.19, RN - 22.97, UG;Triangulaire
"7303";40.86, LR - 35.98, RN - 21.81, UG;Triangulaire
"7304";36.87, UG - 30.23, RN - 27.72, ENS;Triangulaire
"7401";35.64, ENS - 31.09, RN - 22.82, UG;Triangulaire
"7402";33.27, ENS - 28.80, RN - 26.88, UG;Triangulaire
"7403";39.68, UXD - 32.37, DVD - 24.01, UG;Triangulaire
"7404";37.25, LR - 28.85, RN - 27.37, UG;Triangulaire
"7405";32.10, UXD - 31.08, ENS - 23.52, UG;Triangulaire
"7406";36.21, UXD - 34.68, ENS - 22.20, UG;Triangulaire
"7501";44.70, ENS - 32.09, UG;Duel
"7502";33.40, UG - 23.62, ENS - 19.62, DVC;Triangulaire
"7503";46.15, UG - 33.99, ENS;Duel
"7504";37.19, ENS - 26.55, DVD - 17.91, UG;Triangulaire
"7505";54.24, UG;Elu
"7506";58.19, UG;Elu
"7507";50.87, UG;Elu
"7508";50.73, UG;Elu
"7509";52.13, UG;Elu
"7510";50.66, UG;Elu
"7511";43.70, UG - 34.85, ENS;Duel
"7512";39.36, ENS - 28.96, UG;Duel
"7513";38.85, ENS - 37.11, UG;Duel
"7514";47.71, ENS - 17.70, LR - 17.56, UXD;Triangulaire
"7515";41.87, DVG - 22.87, UG;Duel
"7516";62.47, UG;Elu
"7517";64.23, UG;Elu
"7518";50.38, UG;Elu
"7601";44.44, UG - 27.62, ENS - 19.00, RN;Triangulaire
"7602";33.77, RN - 27.73, ENS - 24.46, UG;Triangulaire
"7603";48.64, UG - 28.24, RN;Duel
"7604";39.08, RN - 32.65, UG - 24.71, HOR;Triangulaire
"7605";41.40, RN - 33.36, UG - 22.35, HOR;Triangulaire
"7606";44.91, RN - 34.50, UG;Duel
"7607";34.83, HOR - 28.63, RN - 28.62, UG;Triangulaire
"7608";42.81, UG - 31.32, RN;Duel
"7609";44.58, RN - 32.08, HOR;Duel
"7610";45.29, RN - 25.55, HOR;Duel
"7701";33.31, UG - 32.95, UXD - 29.04, ENS;Triangulaire
"7702";35.06, RN - 33.73, ENS - 23.70, UG;Triangulaire
"7703";38.13, RN - 31.68, LR - 28.40, UG;Triangulaire
"7704";47.64, RN - 28.01, LR - 20.90, UG;Triangulaire
"7705";41.77, UXD - 31.43, ENS - 24.52, UG;Triangulaire
"7706";40.81, RN - 30.22, UG - 26.70, DVD;Triangulaire
"7707";35.72, RN - 32.85, UG;Duel
"7708";36.29, UG - 33.03, ENS - 27.97, RN;Triangulaire
"7709";35.50, RN - 29.65, UG - 21.57, ENS;Triangulaire
"7710";43.94, UG - 22.64, RN;Duel
"7711";53.42, UG;Elu
"7801";33.55, ENS - 28.31, UG - 19.37, RN;Triangulaire
"7802";35.01, ENS - 26.29, UG - 21.81, RN;Triangulaire
"7803";34.49, ENS - 22.79, UXD - 20.85, UG;Triangulaire
"7804";41.24, ENS - 27.21, UG - 19.99, UXD;Triangulaire
"7805";42.79, ENS - 27.31, UG - 22.90, DVD;Triangulaire
"7806";38.33, ENS - 27.02, UG - 20.45, RN;Triangulaire
"7807";34.68, UG - 29.32, ENS - 25.79, UXD;Triangulaire
"7808";44.92, UG - 30.97, RN;Duel
"7809";34.49, RN - 29.64, UG - 21.35, ENS;Triangulaire
"7810";33.59, ENS - 28.22, RN - 22.40, UG;Triangulaire
"7811";43.38, UG - 29.25, UDI - 21.79, RN;Triangulaire
"7812";40.75, ENS - 30.32, UG - 24.88, RN;Triangulaire
"7901";40.24, DVC - 32.79, UG - 24.62, RN;Triangulaire
"7902";38.57, ECO - 34.12, RN;Duel
"7903";35.27, UXD - 31.12, ENS;Duel
"8001";40.69, RN - 33.92, UG - 22.68, ENS;Triangulaire
"8002";29.54, UG - 27.46, RN - 25.23, ENS;Triangulaire
"8003";48.90, RN - 27.70, LR;Duel
"8004";49.62, RN - 18.47, ENS;Duel
"8005";55.98, RN;Elu
"8101";39.53, RN - 29.52, DVC - 28.37, UG;Triangulaire
